RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@499,off,off,0%@499,0%@499,0%@499] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@41C thermal@40.4C Tdiode@39.5C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2568/2568 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@41.5C BCPU@41C thermal@41C Tdiode@41C VDD_SYS_GPU 2298/784 VDD_SYS_SOC 612/612 VDD_4V0_WIFI 0/0 VDD_IN 4749/3187 VDD_SYS_CPU 229/229 VDD_SYS_DDR 745/716
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,28%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 50% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@40.5C BCPU@41C thermal@41C Tdiode@40.25C VDD_SYS_GPU 2145/808 VDD_SYS_SOC 612/612 VDD_4V0_WIFI 0/0 VDD_IN 4558/3211 VDD_SYS_CPU 229/229 VDD_SYS_DDR 745/716
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@40C BCPU@41C thermal@41C Tdiode@40.25C VDD_SYS_GPU 1915/827 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 4330/3230 VDD_SYS_CPU 229/229 VDD_SYS_DDR 745/717
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [14%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@40C BCPU@41C thermal@41C Tdiode@40.25C VDD_SYS_GPU 1685/842 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 4061/3244 VDD_SYS_CPU 229/229 VDD_SYS_DDR 725/717
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@40C BCPU@41C thermal@41C Tdiode@40.25C VDD_SYS_GPU 1455/852 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 3870/3255 VDD_SYS_CPU 229/229 VDD_SYS_DDR 725/717
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,14%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@41C thermal@41C Tdiode@40.25C VDD_SYS_GPU 1302/859 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 3678/3262 VDD_SYS_CPU 229/229 VDD_SYS_DDR 725/717
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@41C thermal@40.4C Tdiode@39.75C VDD_SYS_GPU 1149/864 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 3525/3266 VDD_SYS_CPU 229/229 VDD_SYS_DDR 725/717
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@40C BCPU@41C thermal@40.4C Tdiode@39.75C VDD_SYS_GPU 996/866 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 3410/3268 VDD_SYS_CPU 229/229 VDD_SYS_DDR 725/717
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@41C thermal@40.4C Tdiode@39.75C VDD_SYS_GPU 919/867 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 3295/3269 VDD_SYS_CPU 229/229 VDD_SYS_DDR 725/718
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@40C BCPU@41C thermal@40.4C Tdiode@39.75C VDD_SYS_GPU 843/867 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 3180/3267 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/717
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@41C thermal@40.4C Tdiode@39.5C VDD_SYS_GPU 766/865 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 3103/3265 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/717
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@41C thermal@40.4C Tdiode@39.5C VDD_SYS_GPU 689/862 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 3027/3261 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/717
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@41C thermal@40.4C Tdiode@39.5C VDD_SYS_GPU 613/859 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 2950/3257 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/717
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@41C thermal@40.4C Tdiode@39.5C VDD_SYS_GPU 536/854 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 2875/3251 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/717
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@41C thermal@40.4C Tdiode@39.5C VDD_SYS_GPU 459/848 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 2836/3245 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/717
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@41C thermal@40.4C Tdiode@39.5C VDD_SYS_GPU 459/843 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 2798/3239 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/716
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@41C thermal@40.4C Tdiode@39.5C VDD_SYS_GPU 383/837 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 2760/3232 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/716
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [14%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@41C thermal@40.4C Tdiode@39.5C VDD_SYS_GPU 383/830 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 2721/3225 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/716
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@41C thermal@40.4C Tdiode@39.5C VDD_SYS_GPU 383/824 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 2683/3218 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/716
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.4C Tdiode@39.5C VDD_SYS_GPU 306/817 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 2683/3211 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/716
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@41C thermal@40.4C Tdiode@39.5C VDD_SYS_GPU 306/811 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 2645/3203 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/716
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.4C Tdiode@39.5C VDD_SYS_GPU 306/804 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 2645/3196 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/716
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@41C thermal@40.4C Tdiode@39.5C VDD_SYS_GPU 306/798 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 2606/3188 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/715
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.4C Tdiode@39.25C VDD_SYS_GPU 230/791 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 2606/3181 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/715
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@41C thermal@40.4C Tdiode@39.25C VDD_SYS_GPU 230/784 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 2606/3174 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/715
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@41C thermal@40.4C Tdiode@39.25C VDD_SYS_GPU 230/777 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 2568/3166 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/715
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,14%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@41C thermal@40.4C Tdiode@39.25C VDD_SYS_GPU 230/770 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 2568/3159 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/715
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.4C Tdiode@39.5C VDD_SYS_GPU 229/763 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 2568/3152 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/715
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,14%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@41C thermal@40.4C Tdiode@39.5C VDD_SYS_GPU 229/757 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 2568/3145 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/715
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@41C thermal@40.4C Tdiode@39.5C VDD_SYS_GPU 230/751 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 2568/3138 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/715
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@41C thermal@40.4C Tdiode@39.5C VDD_SYS_GPU 230/745 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 2530/3131 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/714
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@41C thermal@40.4C Tdiode@39.5C VDD_SYS_GPU 230/739 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 2530/3124 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/714
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.4C Tdiode@39.25C VDD_SYS_GPU 230/733 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 2530/3117 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/714
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.4C Tdiode@39.25C VDD_SYS_GPU 230/727 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 2530/3111 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/714
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@41C thermal@40.4C Tdiode@39.25C VDD_SYS_GPU 153/721 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 2530/3104 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/714
RAM 1266/7860MB (lfb 1343x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,16%@345,16%@499,16%@499] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.4C Tdiode@39.25C VDD_SYS_GPU 153/715 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 2530/3098 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/714
