RAM 1255/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@499,off,off,0%@499,0%@499,0%@499] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.6C Tdiode@39.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2530 VDD_SYS_CPU 230/230 VDD_SYS_DDR 706/706
RAM 1255/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.6C Tdiode@39.5C VDD_SYS_GPU 153/169 VDD_SYS_SOC 613/585 VDD_4V0_WIFI 0/0 VDD_IN 2491/2361 VDD_SYS_CPU 230/229 VDD_SYS_DDR 687/587
RAM 1255/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.6C Tdiode@39.5C VDD_SYS_GPU 153/168 VDD_SYS_SOC 613/586 VDD_4V0_WIFI 0/0 VDD_IN 2491/2363 VDD_SYS_CPU 229/229 VDD_SYS_DDR 687/588
RAM 1255/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.6C Tdiode@39.75C VDD_SYS_GPU 153/168 VDD_SYS_SOC 613/586 VDD_4V0_WIFI 0/0 VDD_IN 2491/2365 VDD_SYS_CPU 229/229 VDD_SYS_DDR 687/590
RAM 1255/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.6C Tdiode@39.75C VDD_SYS_GPU 153/168 VDD_SYS_SOC 613/587 VDD_4V0_WIFI 0/0 VDD_IN 2491/2367 VDD_SYS_CPU 230/229 VDD_SYS_DDR 687/592
RAM 1255/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.6C Tdiode@39.75C VDD_SYS_GPU 153/168 VDD_SYS_SOC 613/587 VDD_4V0_WIFI 0/0 VDD_IN 2491/2370 VDD_SYS_CPU 229/229 VDD_SYS_DDR 687/593
RAM 1255/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.6C Tdiode@39.75C VDD_SYS_GPU 153/167 VDD_SYS_SOC 613/588 VDD_4V0_WIFI 0/0 VDD_IN 2491/2371 VDD_SYS_CPU 229/229 VDD_SYS_DDR 687/595
RAM 1255/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [14%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.6C Tdiode@39.75C VDD_SYS_GPU 153/167 VDD_SYS_SOC 613/588 VDD_4V0_WIFI 0/0 VDD_IN 2491/2373 VDD_SYS_CPU 230/229 VDD_SYS_DDR 687/596
RAM 1255/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.6C Tdiode@39.75C VDD_SYS_GPU 153/167 VDD_SYS_SOC 613/588 VDD_4V0_WIFI 0/0 VDD_IN 2491/2375 VDD_SYS_CPU 229/229 VDD_SYS_DDR 687/597
RAM 1255/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.6C Tdiode@39.75C VDD_SYS_GPU 153/167 VDD_SYS_SOC 613/589 VDD_4V0_WIFI 0/0 VDD_IN 2491/2377 VDD_SYS_CPU 230/229 VDD_SYS_DDR 687/599
RAM 1255/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.6C Tdiode@39.75C VDD_SYS_GPU 153/166 VDD_SYS_SOC 613/589 VDD_4V0_WIFI 0/0 VDD_IN 2491/2379 VDD_SYS_CPU 229/229 VDD_SYS_DDR 687/600
RAM 1255/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.6C Tdiode@39.75C VDD_SYS_GPU 153/166 VDD_SYS_SOC 613/590 VDD_4V0_WIFI 0/0 VDD_IN 2491/2380 VDD_SYS_CPU 230/229 VDD_SYS_DDR 687/601
RAM 1255/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.6C Tdiode@39.75C VDD_SYS_GPU 153/166 VDD_SYS_SOC 613/590 VDD_4V0_WIFI 0/0 VDD_IN 2491/2382 VDD_SYS_CPU 230/229 VDD_SYS_DDR 706/603
RAM 1255/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.6C Tdiode@39.75C VDD_SYS_GPU 153/166 VDD_SYS_SOC 613/590 VDD_4V0_WIFI 0/0 VDD_IN 2530/2384 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/604
RAM 1255/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.6C Tdiode@39.75C VDD_SYS_GPU 153/166 VDD_SYS_SOC 613/591 VDD_4V0_WIFI 0/0 VDD_IN 2530/2386 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/606
RAM 1255/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.6C Tdiode@39.75C VDD_SYS_GPU 153/166 VDD_SYS_SOC 613/591 VDD_4V0_WIFI 0/0 VDD_IN 2530/2388 VDD_SYS_CPU 230/229 VDD_SYS_DDR 706/607
